id,name,description,category,price,link
PIL-PS5,Michelin Pilot Sport 5,Pneumatique été haute performance pour voitures sportives avec adhérence exceptionnelle sur sol sec et mouillé,Été,179.90,https://www.michelin.fr/auto/pneus/michelin-pilot-sport-5
CRO-CC2,Michelin CrossClimate 2,Pneumatique toutes saisons avec excellente traction sur neige et longévité remarquable,Toutes-saisons,149.50,https://www.michelin.fr/auto/pneus/michelin-crossclimate-2
ALP-A6,Michelin Alpin 6,Pneumatique hiver avec technologie EverGrip pour une sécurité optimale sur neige et verglas,Hiver,165.00,https://www.michelin.fr/auto/pneus/michelin-alpin-6
PRI-4,Michelin Primacy 4,Pneumatique tourisme offrant sécurité et longévité pour un usage quotidien,Tourisme,135.75,https://www.michelin.fr/auto/pneus/michelin-primacy-4
LAT-SPORT3,Michelin Latitude Sport 3,Pneumatique SUV été pour performances sportives et confort de conduite,SUV Été,195.25,https://www.michelin.fr/auto/pneus/michelin-latitude-sport-3
LAT-CROSS,Michelin Latitude Cross,Pneumatique SUV toutes saisons pour aventures urbaines et tout-terrain,SUV Toutes-saisons,175.80,https://www.michelin.fr/auto/pneus/michelin-latitude-cross
ENERGY-SAVER,Michelin Energy Saver+,Pneumatique éco-responsable réduisant la consommation de carburant,Éco,125.40,https://www.michelin.fr/auto/pneus/michelin-energy-saver-plus
PIL-SUPER-SPORT,Michelin Pilot Super Sport,Pneumatique ultra-haute performance pour voitures de sport et supercars,Sport,245.60,https://www.michelin.fr/auto/pneus/michelin-pilot-super-sport
DEF-LTX,Michelin Defender LTX M/S,Pneumatique pickup et SUV pour usage mixte route et léger tout-terrain,Pickup/SUV,189.30,https://www.michelin.fr/auto/pneus/michelin-defender-ltx
X-ICE-SNOW,Michelin X-Ice Snow,Pneumatique hiver nordique pour conditions extrêmes de neige et glace,Hiver Nordique,155.90,https://www.michelin.fr/auto/pneus/michelin-x-ice-snow